code_pays;annee;mois;zone;port_site;type_pirogue;motorisation;engin_peche;espece;captures
MRT;2006;1;NOUAKCHOTT;NOUAKCHOTT;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;11961.74926
MRT;2006;1;NOUAKCHOTT;NOUAKCHOTT;NC;True;TREMAIL;EPINEPHELUS AENEUS;298.375
MRT;2006;1;PNBA;PNBA;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;5.255065
MRT;2006;1;PNBA;PNBA;NC;True;FILET D'EPAULE;EPINEPHELUS AENEUS;38.127537
MRT;2006;1;PNBA;PNBA;NC;True;FILET DORADE;EPINEPHELUS AENEUS;10.23628
MRT;2006;1;PNBA;PNBA;NC;True;FILET MULET ENCERCLANT;EPINEPHELUS AENEUS;47.361764
MRT;2006;1;PNBA;PNBA;NC;True;FILET TOLLO;EPINEPHELUS AENEUS;19.55885
MRT;2006;1;PNBA;PNBA;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;21.752919
MRT;2006;2;NORD;NORD;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;1530.666667
MRT;2006;2;NOUAKCHOTT;NOUAKCHOTT;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;10521.03623
MRT;2006;2;NOUAKCHOTT;NOUAKCHOTT;NC;True;TREMAIL;EPINEPHELUS AENEUS;832
MRT;2006;2;PNBA;PNBA;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;34.295299
MRT;2006;2;PNBA;PNBA;NC;True;FILET D'EPAULE;EPINEPHELUS AENEUS;4.562473
MRT;2006;2;PNBA;PNBA;NC;True;FILET MULET ENCERCLANT;EPINEPHELUS AENEUS;117.309579
MRT;2006;2;PNBA;PNBA;NC;True;FILET TOLLO;EPINEPHELUS AENEUS;38.266881
MRT;2006;3;CENTRE;CENTRE;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;2049.167629
MRT;2006;3;CENTRE;CENTRE;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;9168.029837
MRT;2006;3;CENTRE;CENTRE;NC;True;TREMAIL;EPINEPHELUS AENEUS;505.217914
MRT;2006;3;NORD;NORD;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;3906
MRT;2006;3;NOUAKCHOTT;NOUAKCHOTT;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;10953.33333
MRT;2006;3;PNBA;PNBA;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;5.183471
MRT;2006;3;PNBA;PNBA;NC;True;FILET D'EPAULE;EPINEPHELUS AENEUS;0.530226
MRT;2006;3;PNBA;PNBA;NC;True;FILET MULET ENCERCLANT;EPINEPHELUS AENEUS;18.617944
MRT;2006;3;PNBA;PNBA;NC;True;FILET TOLLO;EPINEPHELUS AENEUS;16.299382
MRT;2006;3;PNBA;PNBA;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;7.445509
MRT;2006;4;CENTRE;CENTRE;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;820
MRT;2006;4;NOUAKCHOTT;NOUAKCHOTT;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;480
MRT;2006;4;NOUAKCHOTT;NOUAKCHOTT;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;24382.4004
MRT;2006;4;PNBA;PNBA;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;31.542596
MRT;2006;4;PNBA;PNBA;NC;True;FILET MULET ENCERCLANT;EPINEPHELUS AENEUS;11.295549
MRT;2006;4;PNBA;PNBA;NC;True;FILET TOLLO;EPINEPHELUS AENEUS;2.697196
MRT;2006;5;NORD;NORD;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;8035.2
MRT;2006;5;NOUAKCHOTT;NOUAKCHOTT;NC;True;LIGNE A MAIN;EPINEPHELUS AENEUS;17613.53345
MRT;2006;5;NOUAKCHOTT;NOUAKCHOTT;NC;True;PALANGRE;EPINEPHELUS AENEUS;647.092437
MRT;2006;5;NOUAKCHOTT;NOUAKCHOTT;NC;True;TREMAIL;EPINEPHELUS AENEUS;901.727342
MRT;2006;5;PNBA;PNBA;NC;True;FILET COURBINE;EPINEPHELUS AENEUS;6.434132
MRT;2006;5;PNBA;PNBA;NC;True;FILET MULET ENCERCLANT;EPINEPHELUS AENEUS;33.752018
MRT;2006;5;PNBA;PNBA;NC;True;FILET TOLLO;EPINEPHELUS AENEUS;70.823046
